SFO,LAX,293,12.62,3232
LAX,SFO,293,16.21,3198
LAS,LAX,205,10.05,3016
LAX,LAS,205,11.3,2964
JFK,LAX,2151,13.15,2720
LAX,JFK,2151,12.31,2719
ATL,LGA,662,13.96,2501
LGA,ATL,662,14.3,2500
LAX,PHX,322,11.34,2394
PHX,LAX,322,9.17,2387
HNL,OGG,87,-2.58,2380
OGG,HNL,87,-2.73,2379
LAX,SAN,95,8.61,2215
SAN,LAX,95,5.23,2214
SJC,LAX,268,7.86,2208
LAX,SJC,268,11.4,2201
ATL,MCO,351,10.49,2136
MCO,ATL,351,7.79,2090
JFK,SFO,2247,17.09,2084
SFO,JFK,2247,11.56,2084
